LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
2143201101 - STO CIANGSANA - OFFICE,2143201101,STO CIANGSANA,JAWA BARAT,TR2,"JL. RAYA CIANGSANA NO. 29 / JL. LETDA NASIR, RT. 003/005, KEL. CIANGSANA, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,628.75,AKTIF,,,ID001487
2143201201 - STO CIAPUS - OFFICE,2143201201,STO CIAPUS,JAWA BARAT,TR2,"JL. RAYA CIAPUS / JL. KAPT, YUSUF, RT. 001 / 008, KEL. PASIR EURIH, KEC. TAMAN SARI, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,660.98,AKTIF,,,ID001488
2143201202 - GUDANG CIAPUS - GUDANG,2143201202,GUDANG CIAPUS,JAWA BARAT,TR2,"JL. RAYA CIAPUS / JL. KAPT, YUSUF, RT. 001 / 008, KEL. PASIR EURIH, KEC. TAMAN SARI, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,102.00,AKTIF,,,ID001489
2143201203 - HALAMAN STO CIAPUS - HALAMAN,2143201203,HALAMAN STO CIAPUS,JAWA BARAT,TR2,"JL. RAYA CIAPUS / JL. KAPT, YUSUF, RT. 001 / 008, KEL. PASIR EURIH, KEC. TAMAN SARI, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,812.50,AKTIF,,,ID001490
2143201301 - STO CIAWI - OFFICE,2143201301,STO CIAWI,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 15 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,800.69,AKTIF,,,ID001491
2143201302 - GUDANG CIAWI - GUDANG,2143201302,GUDANG CIAWI,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 15 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,53.64,AKTIF,,,ID001492
2143201303 - GEDUNG KOSONG CIAWI - IDLE,2143201303,GEDUNG KOSONG CIAWI,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 15 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,191.51,AKTIF,,,ID001493
2143201304 - HALAMAN STO CIAWI BOGOR - HALAMAN,2143201304,HALAMAN STO CIAWI BOGOR,JAWA BARAT,TR2,"JL. RAYA SUKABUMI KM. 15 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"2,475.00",AKTIF,,,ID001494
2143201401 - STO CIBINONG - OFFICE,2143201401,STO CIBINONG,JAWA BARAT,TR2,"JL. RAYA JAKARTA - BOGOR KM 42, RT. 003 / 007, KEL. PABUARAN, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 3,"1,753.96",AKTIF,,,ID001495
2143201402 - GUDANG STO CIBINONG - GUDANG,2143201402,GUDANG STO CIBINONG,JAWA BARAT,TR2,"JL. RAYA JAKARTA - BOGOR KM 42, RT. 003 / 007, KEL. PABUARAN, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,12.07,AKTIF,,,ID001496
