LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3243200901 - STO CIAMPEL - OFFICE,3243200901,STO CIAMPEL,JAWA BARAT,TR3,"JL. SURYA LESTARI, KEC. CIAMPEL - KARAWANG, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,275.11,AKTIF,,,"05/24/2025 16:46:18 | 275.11100 , 05/24/2025 16:46:23 | 275.11100"
3243200902 - GUDANG CIAMPEL - GUDANG,3243200902,GUDANG CIAMPEL,JAWA BARAT,TR3,"JL. SURYA LESTARI, KEC. CIAMPEL - KARAWANG, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,28.86,AKTIF,,,ID002115
3243201001 - STO CIASEM - OFFICE,3243201001,STO CIASEM,JAWA BARAT,TR3,"JL. SUKA MANDI NO. 1, KAB. SUBANG",OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,216.64,AKTIF,,,ID002116
3243201002 - GUDANG CIASEM - GUDANG,3243201002,GUDANG CIASEM,JAWA BARAT,TR3,"JL. SUKA MANDI NO. 1, KAB. SUBANG",GUDANG,KAB. SUBANG,KARAWANG,KELAS 5,27.44,AKTIF,,,ID002117
3243201003 - HALAMAN STO CIASEM - HALAMAN,3243201003,HALAMAN STO CIASEM,JAWA BARAT,TR3,"JL. SUKA MANDI NO. 1, KAB. SUBANG",HALAMAN,KAB. SUBANG,KARAWANG,KELAS 6,314.62,AKTIF,,,ID002118
3243201101 - STO CIBUNGUR - OFFICE,3243201101,STO CIBUNGUR,JAWA BARAT,TR3,"KAWASAN KOTA BUKIT INDAH, KEL. CIBUNGUR, KEC. PURWAKARTA, KAB. PURWAKARTA",OFFICE,KAB. PURWAKARTA,KARAWANG,KELAS 4,732.46,AKTIF,,,ID002119
3243201102 - GUDANG CIBUNGUR - GUDANG,3243201102,GUDANG CIBUNGUR,JAWA BARAT,TR3,"KAWASAN KOTA BUKIT INDAH, KEL. CIBUNGUR, KEC. PURWAKARTA, KAB. PURWAKARTA",GUDANG,KAB. PURWAKARTA,KARAWANG,KELAS 5,84.15,AKTIF,,,ID002120
3243201103 - HALAMAN STO CIBUNGUR - HALAMAN,3243201103,HALAMAN STO CIBUNGUR,JAWA BARAT,TR3,"KAWASAN KOTA BUKIT INDAH, KEL. CIBUNGUR, KEC. PURWAKARTA, KAB. PURWAKARTA",HALAMAN,KAB. PURWAKARTA,KARAWANG,KELAS 6,816.67,AKTIF,,,ID002121
3243201201 - STO CIKAMPEK - OFFICE,3243201201,STO CIKAMPEK,JAWA BARAT,TR3,"JL. JEND. A. YANI NO.3 RT 001 / 009, DS. CIKAMPEK, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 3,"1,098.78",AKTIF,,,ID002122
3243201202 - GUDANG CIKAMPEK - GUDANG,3243201202,GUDANG CIKAMPEK,JAWA BARAT,TR3,"JL. JEND. A. YANI NO.3 RT 001 / 009, DS. CIKAMPEK, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,17.89,AKTIF,,,ID002123
3243201301 - STO CILAMAYA - OFFICE,3243201301,STO CILAMAYA,JAWA BARAT,TR3,"KAMPUNG ALANG LANANG, RT. 02/02, KEL. SUKATANI, KEC. CILAMAYA WETAN, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,858.82,AKTIF,,,ID002124
3243201302 - GUDANG CILAMAYA - GUDANG,3243201302,GUDANG CILAMAYA,JAWA BARAT,TR3,"KAMPUNG ALANG LANANG, RT. 02/02, KEL. SUKATANI, KEC. CILAMAYA WETAN, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,45.15,AKTIF,,,ID002125
