label,kode_gedung,nama_lokasi,provinsi,kawasan,area,alamat_lokasi,peruntukan,kab_kota,witel,kelas_berbayar,luasan_berbayar,keterangan,histori,simpan,id
3213202001 - TELKOM ACI GD. A - OFFICE,3213202001,TELKOM ACI GD. A,JAWA BARAT,BANDUNG,TR3,"JL. HEGARMANAH TENGAH NO. 71, RT. 001/008, KEL. HEGARMANAH, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,"1,541.92",AKTIF,,,ID001922
3213202201 - GUDANG TELKOM CISANGGARUNG - GUDANG,3213202201,GUDANG TELKOM CISANGGARUNG,JAWA BARAT,BANDUNG,TR3,"JL. CISANGGARUNG NO. 2, RT. 02/07, KEL. CIBEUYING, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,573.52,AKTIF,,,ID001923
3213202202 - TELKOM CISANGGARUNG - UTILITY,3213202202,TELKOM CISANGGARUNG,JAWA BARAT,BANDUNG,TR3,"JL. CISANGGARUNG NO. 2, RT. 02/07, KEL. CIBEUYING, BANDUNG KOTA",UTILITY,KOTA BANDUNG,BANDUNG,KELAS 5,849.49,AKTIF,,,ID001924
3213202301 - TELKOM DHARMA WANITA - OFFICE,3213202301,TELKOM DHARMA WANITA,JAWA BARAT,BANDUNG,TR3,"JL. WR. SUPRATMAN NO. 48, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,621.49,AKTIF,,,ID001925
3213202302 - GUDANG DHARMA WANITA - GUDANG,3213202302,GUDANG DHARMA WANITA,JAWA BARAT,BANDUNG,TR3,"JL. WR. SUPRATMAN NO. 48, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,9.75,AKTIF,,,ID001926
3213202403 - GT WAHIDIN - IDLE,3213202403,GT WAHIDIN,JAWA BARAT,BANDUNG,TR3,JL. WAHIDIN NO.5 BANDUNG,IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,659.01,AKTIF,,,ID001927
3213202501 - PLASA / WITEL BANDUNG / STO LEMBONG - OFFICE,3213202501,PLASA / WITEL BANDUNG / STO LEMBONG,JAWA BARAT,BANDUNG,TR3,"JL. LEMBONG NO. 11/15, RT. 02/05, KEL. BRAGA, KEC. SUMUR BANDUNG, KAB. BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 2,"7,476.58",AKTIF,,,ID001928
3213202502 - GUDANG WITEL BANDUNG - GUDANG,3213202502,GUDANG WITEL BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. LEMBONG NO. 11/15, RT. 02/05, KEL. BRAGA, KEC. SUMUR BANDUNG, KAB. BANDUNG",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,"2,286.84",AKTIF,,,ID001929
3213202503 - GEDUNG KOSONG WITEL BANDUNG - IDLE,3213202503,GEDUNG KOSONG WITEL BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. LEMBONG NO. 11/15, RT. 02/05, KEL. BRAGA, KEC. SUMUR BANDUNG, KAB. BANDUNG",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,205.82,AKTIF,,,ID001930
3213202504 - WITEL BANDUNG - UTILITY,3213202504,WITEL BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. LEMBONG NO. 11/15, RT. 02/05, KEL. BRAGA, KEC. SUMUR BANDUNG, KAB. BANDUNG",UTILITY,KOTA BANDUNG,BANDUNG,KELAS 5,"2,806.00",AKTIF,,,ID001931
3213203702 - GT SEKAR - OFFICE,3213203702,GT SEKAR,JAWA BARAT,BANDUNG,TR3,"JL. WANGSAREJA NO.5, PALEDANG, KEC. LENGKONG, KOTA BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,162.83,AKTIF,,,ID001932
3213203703 - GUDANG GT SEKAR - GUDANG,3213203703,GUDANG GT SEKAR,JAWA BARAT,BANDUNG,TR3,"JL. WANGSAREJA NO.5, PALEDANG, KEC. LENGKONG, KOTA BANDUNG",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,12.11,AKTIF,,,ID001933
